track_id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
4EWCNWgDS8707fNSZ1oaA5,0.0515,0.79,0.647,0.0,10,0.248,-5.983,0,0.136,87.999,0.654
4Yw8TyBm9J8cpy2guHUYog,0.505,0.638,0.335,0.0139,7,0.116,-10.522,0,0.0854,133.853,0.0608
0GROiXm03OrMC5ltXLhGIu,0.22,0.645,0.58,0.0,5,0.0878,-9.527,0,0.0406,101.733,0.163
2oGY1X7Xd5kyL6B9s19D9A,0.107,0.847,0.522,0.000233,1,0.144,-6.461,1,0.153,122.935,0.276
7kQJCw0ZkvHgfJqRwPblmG,0.0223,0.625,0.542,0.0,9,0.377,-4.365,1,0.266,152.403,0.328
1ZM8toCOlnfBKJdvR8GqUq,0.0526,0.687,0.783,0.0,0,0.0718,-4.573,1,0.191,156.141,0.359
7HsG7U7aQhafXqa41dBxlK,0.387,0.413,0.726,0.0,8,0.134,-3.845,1,0.36,80.173,0.0767
2X485T9Z5Ly0xyaghN73ed,0.00462,0.602,0.881,0.0266,1,0.111,-5.875,0,0.0443,125.012,0.577
7mTBIRS3sgMHakyp1UFxZz,0.171,0.546,0.822,0.00539,4,0.11,-6.4,0,0.456,153.987,0.104
5It0Qpe4pVBbCs113i8AKq,0.51,0.626,0.527,0.0049,1,0.124,-9.111,0,0.149,139.857,0.29
6AHNkRbVzkh95xilnYzDT7,0.127,0.514,0.78,0.0,10,0.349,-6.491,0,0.198,75.549,0.331
0rBMP6VVGRgwnzZCLpijyl,0.308,0.696,0.583,0.0,3,0.0964,-9.351,0,0.301,137.079,0.524
2gAGWaK4wvt2xrFUlR4mK8,0.302,0.284,0.803,0.0,2,0.242,-5.293,0,0.173,67.536,0.553
3orEOtd8CPL8GFlpRpKuoE,0.612,0.37,0.603,0.0439,0,0.147,-7.268,0,0.0735,175.962,0.125
2p8IUWQDrpjuFltbdgLOag,0.0811,0.658,0.572,0.0061,5,0.121,-6.099,0,0.0308,108.968,0.144
3aUFrxO1B8EW63QchEl3wX,0.126,0.58,0.469,7.32e-05,0,0.099,-5.946,0,0.104,110.573,0.369
